Ano,UF,Produto_lavouras,kg_hectare
2011,Rondônia,Milho (em grão),2201
2011,Rondônia,Soja (em grão),3171
2011,Acre,Milho (em grão),2230
2011,Acre,Soja (em grão),3318
2011,Amazonas,Milho (em grão),2488
2011,Amazonas,Soja (em grão),3000
2011,Roraima,Milho (em grão),2000
2011,Roraima,Soja (em grão),2800
2011,Pará,Milho (em grão),2570
2011,Pará,Soja (em grão),2995
2011,Amapá,Milho (em grão),864
2011,Amapá,Soja (em grão),-
2011,Tocantins,Milho (em grão),3615
2011,Tocantins,Soja (em grão),3013
2011,Maranhão,Milho (em grão),1695
2011,Maranhão,Soja (em grão),2962
2011,Piauí,Milho (em grão),1936
2011,Piauí,Soja (em grão),2982
2011,Ceará,Milho (em grão),1262
2011,Ceará,Soja (em grão),-
2011,Rio Grande do Norte,Milho (em grão),661
2011,Rio Grande do Norte,Soja (em grão),-
2011,Paraíba,Milho (em grão),399
2011,Paraíba,Soja (em grão),-
2011,Pernambuco,Milho (em grão),478
2011,Pernambuco,Soja (em grão),-
2011,Alagoas,Milho (em grão),820
2011,Alagoas,Soja (em grão),-
2011,Sergipe,Milho (em grão),3228
2011,Sergipe,Soja (em grão),-
2011,Bahia,Milho (em grão),3281
2011,Bahia,Soja (em grão),3361
2011,Minas Gerais,Milho (em grão),5553
2011,Minas Gerais,Soja (em grão),2899
2011,Espírito Santo,Milho (em grão),2380
2011,Espírito Santo,Soja (em grão),-
2011,Rio de Janeiro,Milho (em grão),2486
2011,Rio de Janeiro,Soja (em grão),-
2011,Guanabara,Milho (em grão),...
2011,Guanabara,Soja (em grão),...
2011,São Paulo,Milho (em grão),4208
2011,São Paulo,Soja (em grão),2756
2011,Paraná,Milho (em grão),5178
2011,Paraná,Soja (em grão),3393
2011,Santa Catarina,Milho (em grão),6735
2011,Santa Catarina,Soja (em grão),3259
2011,Rio Grande do Sul,Milho (em grão),5250
2011,Rio Grande do Sul,Soja (em grão),2876
2011,Mato Grosso do Sul,Milho (em grão),3760
2011,Mato Grosso do Sul,Soja (em grão),2923
2011,Mato Grosso,Milho (em grão),4041
2011,Mato Grosso,Soja (em grão),3223
2011,Goiás,Milho (em grão),5978
2011,Goiás,Soja (em grão),3009
2011,Distrito Federal,Milho (em grão),8112
2011,Distrito Federal,Soja (em grão),3355
2012,Rondônia,Milho (em grão),3336
2012,Rondônia,Soja (em grão),3219
2012,Acre,Milho (em grão),2370
2012,Acre,Soja (em grão),-
2012,Amazonas,Milho (em grão),2567
2012,Amazonas,Soja (em grão),3000
2012,Roraima,Milho (em grão),2000
2012,Roraima,Soja (em grão),2800
2012,Pará,Milho (em grão),2801
2012,Pará,Soja (em grão),3120
2012,Amapá,Milho (em grão),836
2012,Amapá,Soja (em grão),-
2012,Tocantins,Milho (em grão),3825
2012,Tocantins,Soja (em grão),3074
2012,Maranhão,Milho (em grão),1757
2012,Maranhão,Soja (em grão),2949
2012,Piauí,Milho (em grão),2860
2012,Piauí,Soja (em grão),2793
2012,Ceará,Milho (em grão),246
2012,Ceará,Soja (em grão),3366
2012,Rio Grande do Norte,Milho (em grão),402
2012,Rio Grande do Norte,Soja (em grão),-
2012,Paraíba,Milho (em grão),426
2012,Paraíba,Soja (em grão),-
2012,Pernambuco,Milho (em grão),410
2012,Pernambuco,Soja (em grão),-
2012,Alagoas,Milho (em grão),379
2012,Alagoas,Soja (em grão),-
2012,Sergipe,Milho (em grão),3557
2012,Sergipe,Soja (em grão),-
2012,Bahia,Milho (em grão),4662
2012,Bahia,Soja (em grão),2888
